weight;word;color;url
20;freon;;
15;domain specific language;;
10;AST;;
10;metamodel;;
6;editor;;
5;DSL;;
5;projectional;;
5;scoper;;
5;typer;;
4;abstract syntax tree;;
4;concrete syntax tree;;
3;box;;
3;editors;;
3;validator;;
3;model unit;;
2;mini-languages;;
2;expressions;;
2;integrated;;
2;model;;
2;parsing;;
2;scope provider;;
2;type provider;;
2;unique;;
2;web-based;;
2;language workbench;;
1;CST;;
1;built-in;;
1;environment;;
1;equalsto;;
1;expression;;
1;friend;;
1;interpreter;;
1;is-unique;;
1;lionweb;;
1;not-empty;;
1;parser;;
1;partition;;
1;projection;;
1;toolkit;;
1;trigger;;
1;typescript;;
1;user-friendly;;
1;valid-identifier-rule;;
1;visual;;
1;web-based;;
1;web-enabled;;
1;where-clause;;
1;Metamodel;;
1;Language Structure;;
1;Defining Properties;;
1;Defining an Editor;;
1;Projections;;
1;Indentation;;
1;Ease of Editing;;
1;Boolean Projections;;
1;Number Projections;;
1;Projections for Limited Concepts;;
1;Binary Expressions;;
1;Global Projections;;
1;Buttons;;
1;Fragments;;
1;Styling;;
1;The Parser Projection;;
1;Scoping, Typing, and Validating;;
1;Scope Provider;;
1;Type Provider;;
1;Validator;;
1;Customizations;;
1;Editor Customization;;
1;External Components;;
1;Scoper Customization;;
1;Typer Customization;;
1;Validator Customization;;
1;Other Customizations;;
1;Under the Hood;;
1;Editor Framework;;
1;Predefined Boxes;;
1;External Component Box Types;;
1;Core Interfaces;;
1;Editor Interfaces;;
1;FreTool Interfaces;;
